CV_ID,vocabTitle,ontology,ontology_name,subject,version,creator,versionInfo,scheme,schemeLabel,topConcept,dataURI,owner,contributor,isDefinedBy,vocabURI,description,date_accepted,dct:accrualPolicy,meta:lastEditedBy
RMST,SRS Substance Type,https://purl.astrazeneca.net/rd/vocab/substance/SRS/SubstanceType_cv,srs_substancetype_cv,https://purl.astrazeneca.net/rd/vocab/substance/SRS/SubstanceType,0.0.1,https://purl.astrazeneca.net/en/data/agent/Person/klmq720,SubstanceType_cv-1.0.0,SubstanceTypeScheme,Substance Type Scheme,SubstanceType,https://purl.astrazeneca.net/rd/data/substance/SRS/SubstanceType/,"Slann, Michael; michael.slann@astrazeneca.com","Slann, Michael; michael.slann@astrazeneca.com",,https://purl.astrazeneca.net/rd/vocab/substance/SRS/SubstanceType,Substance Registration System Substance Types,21/01/2022,https://bitbucket.astrazeneca.net/projects/ONRD/repos/vocabs/browse/cvrecipe,https://purl.astrazeneca.net/en/data/agent/Person/klmq720
RMASI,SRS Alternative Substance Identifier,https://purl.astrazeneca.net/rd/vocab/identifier/SRS/AlternativeSubstanceIdentifier_cv,srs_alternativesubstanceidentifier_cv,https://purl.astrazeneca.net/rd/vocab/identifier/SRS/AlternativeSubstanceIdentifier,0.0.1,https://purl.astrazeneca.net/en/data/agent/Person/klmq720,AlternativeSubstanceIdentifier_cv-1.0.1,AlternativeSubstanceIdentifierScheme,Alternative Substance Identifier Scheme,AlternativeSubstanceIdentifier,https://purl.astrazeneca.net/rd/data/identifier/SRS/AlternativeSubstanceIdentifier/,"Slann, Michael; michael.slann@astrazeneca.com","Slann, Michael; michael.slann@astrazeneca.com",,https://purl.astrazeneca.net/rd/vocab/identifier/SRS/AlternativeSubstanceIdentifier,Substance Registration System Alternative Substance Identifiers,21/01/2022,https://bitbucket.astrazeneca.net/projects/ONRD/repos/vocabs/browse/cvrecipe,https://purl.astrazeneca.net/en/data/agent/Person/klmq720
RMSRD,SRS Supporting Data Reference,https://purl.astrazeneca.net/rd/vocab/identifier/SRS/SupportingDataReference_cv,srs_supportingdatareference_cv,https://purl.astrazeneca.net/rd/vocab/identifier/SRS/SupportingDataReference,0.0.1,https://purl.astrazeneca.net/en/data/agent/Person/kfvv302,SupportingDataReference_cv-1.0.0,SupportingDataReferenceScheme,Supporting Data Reference Scheme,SupportingDataReference,https://purl.astrazeneca.net/rd/data/identifier/SRS/SupportingDataReference/,"Slann, Michael; michael.slann@astrazeneca.com","Slann, Michael; michael.slann@astrazeneca.com",,https://purl.astrazeneca.net/rd/vocab/identifier/SRS/SupportingDataReference,Substance Registration System Supporting Data Reference,21/01/2022,https://bitbucket.astrazeneca.net/projects/ONRD/repos/vocabs/browse/cvrecipe,https://purl.astrazeneca.net/en/data/agent/Person/kfvv302
RMSV,SRS Solvent,https://purl.astrazeneca.net/rd/vocab/substance/SRS/Solvent_cv,srs_solvent_cv,https://purl.astrazeneca.net/rd/vocab/substance/SRS/Solvent,0.0.1,https://purl.astrazeneca.net/en/data/agent/Person/kfvv302,Solvent_cv-1.0.0,SolventScheme,Solvent Scheme,Solvent,https://purl.astrazeneca.net/rd/data/substance/SRS/Solvent/,"Slann, Michael; michael.slann@astrazeneca.com","Slann, Michael; michael.slann@astrazeneca.com",,https://purl.astrazeneca.net/rd/vocab/substance/SRS/Solvent,Substance Registration System Solvents ,22/01/2022,https://bitbucket.astrazeneca.net/projects/ONRD/repos/vocabs/browse/cvrecipe,https://purl.astrazeneca.net/en/data/agent/Person/kfvv302
RMMWC,SRS Molecular Weight Calculation,https://purl.astrazeneca.net/rd/vocab/model/SRS/MolecularWeightCalculation_cv,srs_molecularweightcalculation_cv,https://purl.astrazeneca.net/rd/vocab/model/SRS/MolecularWeightCalculation,0.0.1,https://purl.astrazeneca.net/en/data/agent/Person/kfvv302,MolecularWeightCalculation_cv-1.0.0,MolecularWeightCalculationScheme,Molecular Weight Calculation Scheme,MolecularWeightCalculation,https://purl.astrazeneca.net/rd/data/model/SRS/MolecularWeightCalculation/,"Slann, Michael; michael.slann@astrazeneca.com","Slann, Michael; michael.slann@astrazeneca.com",,https://purl.astrazeneca.net/rd/vocab/model/SRS/MolecularWeightCalculation,Substance Registration System Molecular Weight Calculations,21/01/2022,https://bitbucket.astrazeneca.net/projects/ONRD/repos/vocabs/browse/cvrecipe,https://purl.astrazeneca.net/en/data/agent/Person/kfvv302
RMSM,SRS Synthesis Method,https://purl.astrazeneca.net/rd/vocab/process/SRS/SynthesisMethod_cv,srs_synthesismethod_cv,https://purl.astrazeneca.net/rd/vocab/process/SRS/SynthesisMethod,0.0.1,https://purl.astrazeneca.net/en/data/agent/Person/klmq720,SynthesisMethod_cv-1.0.0,SynthesisMethodScheme,Synthesis Method Scheme,SynthesisMethod,https://purl.astrazeneca.net/rd/data/process/SRS/SynthesisMethod/,"Slann, Michael; michael.slann@astrazeneca.com","Slann, Michael; michael.slann@astrazeneca.com",,https://purl.astrazeneca.net/rd/vocab/process/SRS/SynthesisMethod,Substance Registration System Synthesis Methods,21/01/2022,https://bitbucket.astrazeneca.net/projects/ONRD/repos/vocabs/browse/cvrecipe,https://purl.astrazeneca.net/en/data/agent/Person/klmq720
RMSO,SRS Solubility,https://purl.astrazeneca.net/rd/vocab/substance/SRS/Solubility_cv,srs_solubility_cv,https://purl.astrazeneca.net/rd/vocab/substance/SRS/Solubility,0.0.1,https://purl.astrazeneca.net/en/data/agent/Person/kfvv302,Solubility_cv-1.0.0,SolubilityScheme,Solubility Scheme,Solubility,https://purl.astrazeneca.net/rd/data/substance/SRS/Solubility/,"Slann, Michael; michael.slann@astrazeneca.com","Slann, Michael; michael.slann@astrazeneca.com",,https://purl.astrazeneca.net/rd/vocab/substance/SRS/Solubility,Substance Registration System Substance Solubility,21/01/2022,https://bitbucket.astrazeneca.net/projects/ONRD/repos/vocabs/browse/cvrecipe,https://purl.astrazeneca.net/en/data/agent/Person/kfvv302
RMNRT,SRS Notebook Reference Type,https://purl.astrazeneca.net/rd/vocab/identifier/SRS/NotebookReferenceType_cv,srs_notebookreferencetype_cv,https://purl.astrazeneca.net/rd/vocab/identifier/SRS/NotebookReferenceType,0.0.1,https://purl.astrazeneca.net/en/data/agent/Person/kfvv302,NotebookReferenceType_cv-1.0.0,NotebookReferenceTypeScheme,Notebook Reference Type Scheme,NotebookReferenceType,https://purl.astrazeneca.net/rd/data/identifier/SRS/NotebookReferenceType/,"Slann, Michael; michael.slann@astrazeneca.com","Slann, Michael; michael.slann@astrazeneca.com",,https://purl.astrazeneca.net/rd/vocab/identifier/SRS/NotebookReferenceType,Substance Registration System Notebook Reference Types,21/01/2022,https://bitbucket.astrazeneca.net/projects/ONRD/repos/vocabs/browse/cvrecipe,https://purl.astrazeneca.net/en/data/agent/Person/kfvv302
RMORT,SRS Owner Reference Type,https://purl.astrazeneca.net/rd/vocab/experiment/SRS/OwnerReferenceType_cv,srs_ownerreferencetype_cv,https://purl.astrazeneca.net/rd/vocab/experiment/SRS/OwnerReferenceType,0.0.1,https://purl.astrazeneca.net/en/data/agent/Person/kmlq720,OwnerReferenceType_cv-1.0.0,OwnerReferenceTypeScheme,Owner Reference Type Scheme,OwnerReferenceType,https://purl.astrazeneca.net/rd/data/experiment/SRS/OwnerReferenceType/,"Slann, Michael; michael.slann@astrazeneca.com","Slann, Michael; michael.slann@astrazeneca.com",,https://purl.astrazeneca.net/rd/vocab/experiment/SRS/OwnerReferenceType,Substance Registration System Owner Reference Types,21/01/2022,https://bitbucket.astrazeneca.net/projects/ONRD/repos/vocabs/browse/cvrecipe,https://purl.astrazeneca.net/en/data/agent/Person/klmq720
RMA,SRS Adduct,https://purl.astrazeneca.net/rd/vocab/substance/SRS/Adduct_cv,srs_adduct_cv,https://purl.astrazeneca.net/rd/vocab/substance/SRS/Adduct,1.0.3,https://purl.astrazeneca.net/en/data/agent/Person/kmlq720,Adduct_cv-1.0.3,AdductScheme,Adduct Scheme,Adduct,https://purl.astrazeneca.net/rd/data/substance/SRS/Adduct/,"Slann, Michael; michael.slann@astrazeneca.com","Slann, Michael; michael.slann@astrazeneca.com",,https://purl.astrazeneca.net/rd/vocab/substance/SRS/Adduct,Substance Registration System Adducts,21/01/2022,https://bitbucket.astrazeneca.net/projects/ONRD/repos/vocabs/browse/cvrecipe,https://purl.astrazeneca.net/en/data/agent/Person/klmq720
RMPAT,SRS Purity and Analysis Technique,https://purl.astrazeneca.net/rd/vocab/process/SRS/PurityandAnalysisTechnique_cv,srs_purityandanalysistechnique_cv,https://purl.astrazeneca.net/rd/vocab/process/SRS/PurityandAnalysisTechnique,0.0.1,https://purl.astrazeneca.net/en/data/agent/Person/kmlq720,PurityandAnalysisTechnique_cv-1.0.0,PurityandAnalysisTechniqueScheme,Purity and Analysis Technique Scheme,PurityandAnalysisTechnique,https://purl.astrazeneca.net/rd/data/process/SRS/PurityandAnalysisTechnique/,"Slann, Michael; michael.slann@astrazeneca.com","Slann, Michael; michael.slann@astrazeneca.com",,https://purl.astrazeneca.net/rd/vocab/process/SRS/PurityandAnalysisTechnique,Substance Registration System PurityandAnalysisTechniques,21/01/2022,https://bitbucket.astrazeneca.net/projects/ONRD/repos/vocabs/browse/cvrecipe,https://purl.astrazeneca.net/en/data/agent/Person/klmq720
RMSI,SRS Site,https://purl.astrazeneca.net/rd/vocab/geospatial/SRS/Site_cv,srs_site_cv,https://purl.astrazeneca.net/rd/vocab/geospatial/SRS/Site,0.0.1,https://purl.astrazeneca.net/en/data/agent/Person/kfvv302,Site_cv-1.0.0,SiteScheme,Site Scheme,Site,https://purl.astrazeneca.net/rd/data/geospatial/SRS/Site/,"Slann, Michael; michael.slann@astrazeneca.com","Slann, Michael; michael.slann@astrazeneca.com",,https://purl.astrazeneca.net/rd/vocab/geospatial/SRS/Site,Substance Registration System Site,21/01/2022,https://bitbucket.astrazeneca.net/projects/ONRD/repos/vocabs/browse/cvrecipe,https://purl.astrazeneca.net/en/data/agent/Person/kfvv302
AZCNT,AZ Country,https://purl.astrazeneca.net/rd/vocab/geospatial/Country_cv,country_cv,https://purl.astrazeneca.net/rd/vocab/geospatial/Country,0.0.1,https://purl.astrazeneca.net/en/data/agent/Person/klck825,Country_cv-1.0.0,CountryScheme,Country Scheme,Country,https://purl.astrazeneca.net/rd/data/geospatial/Country/,"Yockey, Courtland; courtland.yockey@astrazeneca.com","Yockey, Courtland; courtland.yockey@astrazeneca.com",,https://purl.astrazeneca.net/rd/vocab/geospatial/Country/,Countries,12/06/2022,https://bitbucket.astrazeneca.net/projects/ONRD/repos/vocabs/browse/cvrecipe,https://purl.astrazeneca.net/en/data/agent/Person/kfvv302
AZTA,AZ Therapeutic Areas,https://purl.astrazeneca.net/rd/vocab/therapy/TherapeuticArea_cv,therapeuticarea_cv,https://purl.astrazeneca.net/rd/vocab/therapy/TherapeuticArea,0.0.1,https://purl.astrazeneca.net/en/data/agent/Person/kmlq720,TherapeuticArea_cv-1.0.0,TherapeuticAreaScheme,Therapeutic Area Scheme,TherapeuticArea,https://purl.astrazeneca.net/rd/data/therapy/TherapeuticArea/,"Conte, Nathalie; nathalie.conte@astrazeneca.com","Conte, Nathalie; nathalie.conte@astrazeneca.com",,https://purl.astrazeneca.net/rd/vocab/therapy/TherapeuticArea/,Therapeutic Areas,09/06/2022,https://bitbucket.astrazeneca.net/projects/ONRD/repos/vocabs/browse/cvrecipe,https://purl.astrazeneca.net/en/data/agent/Person/kmlq720
AZBSX,AZ Biological Sex,https://purl.astrazeneca.net/rd/vocab/biology/BiologicalSex_cv,biologicalsex_cv,https://purl.astrazeneca.net/rd/vocab/biology/BiologicalSex,0.0.1,https://purl.astrazeneca.net/en/data/agent/Person/kmlq720,BiologicalSex_cv-1.0.0,BiologicalSexScheme,Biological Sex Scheme,BiologicalSex,https://purl.astrazeneca.net/rd/data/biology/BiologicalSex/,"Conte, Nathalie; nathalie.conte@astrazeneca.com","Khodiyar, Varsha; varsha.khodiyar@astrazeneca.com",,https://purl.astrazeneca.net/rd/vocab/biology/BiologicalSex/,Biological Sexes,10/06/2022,https://bitbucket.astrazeneca.net/projects/ONRD/repos/vocabs/browse/cvrecipe,https://purl.astrazeneca.net/en/data/agent/Person/kmlq720
AZSC,AZ Security Class,https://purl.astrazeneca.net/rd/vocab/data/SecurityClass_cv,securityclass_cv,https://purl.astrazeneca.net/rd/vocab/data/SecurityClass,0.0.1,https://purl.astrazeneca.net/en/data/agent/Person/kmlq720,SecurityClass_cv-1.0.0,SecurityClassScheme,Security Class Scheme,SecurityClass,https://purl.astrazeneca.net/rd/data/data/SecurityClass/,"Conte, Nathalie; nathalie.conte@astrazeneca.com","Khodiyar, Varsha; varsha.khodiyar@astrazeneca.com",,https://purl.astrazeneca.net/rd/vocab/data/SecurityClass/,Security Classes,13/06/2022,https://bitbucket.astrazeneca.net/projects/ONRD/repos/vocabs/browse/cvrecipe,https://purl.astrazeneca.net/en/data/agent/Person/kmlq720
AZFF,AZ File Format,https://purl.astrazeneca.net/rd/vocab/imaging/FileFormat_cv,fileformat_cv,https://purl.astrazeneca.net/rd/vocab/imaging/FileFormat,1.0.0,https://purl.astrazeneca.net/en/data/agent/Person/kmlq720,FileFormat_cv-1.0.0,FileFormatScheme,File Format Scheme,FileFormat,https://purl.astrazeneca.net/rd/data/imaging/FileFormat/,"Holman, James; james.holman@astrazeneca.com","Harrison, Ian; ian.harrison1@astrazeneca.com",,https://purl.astrazeneca.net/rd/vocab/imaging/FileFormat/,File Formats,01/09/2022,https://bitbucket.astrazeneca.net/projects/ONRD/repos/vocabs/browse/cvrecipe,https://purl.astrazeneca.net/en/data/agent/Person/kmlq720
